A,00100010101000110001111111000110001
B,11100100101001010100100101001011100
C,01110100011000010000100001000101110
D,11100100101001010010100101001011100
E,11110100001000011100100001000011110
F,11110100001000011100100001000010000
G,01110100011000010011100011000101110
H,10001100011000111111100011000110001
I,01110001000010000100001000010001110
J,01110000100001000010000100101000110
K,10010101001010011000101001001010010
U,10010100101001010010100101001001100
V,10001100011000101010010100101000100
W,10001100011010110101101010101001010
T,11111001000010000100001000010000100
S,01110100011000001110000011000101110
L,10000100001000010000100001000011110
M,01010010101010110101101011000110001
N,10001110011100110101100111001110001
O,01110100011000110001100011000101110
P,11100100101001010010111001000010000
Q,01110100011000110001100011001001101
R,11100100101001011100100101001010010
X,10001100010101000100010101000110001
Y,10001100011000101010001000010000100
Z,11111000010001000100010001000011111
_,00000000000000000000000000000011111
 ,00000000000000000000000000000000000
>,10000010000010000010001000100010000
<,00001000100010001000001000001000001
